"","date","is_heat","air_temp_min","pressure_min","solar_min","dewpoint_min","humidity_min","wind_10m_min","wind_2m_min","wbgt_min","hi_min","air_temp_max","pressure_max","solar_max","dewpoint_max","humidity_max","wind_10m_max","wind_2m_max","wbgt_max","hi_max","air_temp_mean","pressure_mean","solar_mean","dewpoint_mean","humidity_mean","wind_10m_mean","wind_2m_mean","wbgt_mean","hi_mean","air_temp_var","pressure_var","solar_var","dewpoint_var","humidity_var","wind_10m_var","wind_2m_var","wbgt_var","hi_var","lag3_air_temp_min","lag3_pressure_min","lag3_solar_min","lag3_dewpoint_min","lag3_humidity_min","lag3_wind_10m_min","lag3_wind_2m_min","lag3_wbgt_min","lag3_hi_min","lag3_air_temp_max","lag3_pressure_max","lag3_solar_max","lag3_dewpoint_max","lag3_humidity_max","lag3_wind_10m_max","lag3_wind_2m_max","lag3_wbgt_max","lag3_hi_max","lag3_air_temp_mean","lag3_pressure_mean","lag3_solar_mean","lag3_dewpoint_mean","lag3_humidity_mean","lag3_wind_10m_mean","lag3_wind_2m_mean","lag3_wbgt_mean","lag3_hi_mean","lag3_air_temp_var","lag3_pressure_var","lag3_solar_var","lag3_dewpoint_var","lag3_humidity_var","lag3_wind_10m_var","lag3_wind_2m_var","lag3_wbgt_var","lag3_hi_var","lag5_air_temp_min","lag5_pressure_min","lag5_solar_min","lag5_dewpoint_min","lag5_humidity_min","lag5_wind_10m_min","lag5_wind_2m_min","lag5_wbgt_min","lag5_hi_min","lag5_air_temp_max","lag5_pressure_max","lag5_solar_max","lag5_dewpoint_max","lag5_humidity_max","lag5_wind_10m_max","lag5_wind_2m_max","lag5_wbgt_max","lag5_hi_max","lag5_air_temp_mean","lag5_pressure_mean","lag5_solar_mean","lag5_dewpoint_mean","lag5_humidity_mean","lag5_wind_10m_mean","lag5_wind_2m_mean","lag5_wbgt_mean","lag5_hi_mean","lag5_air_temp_var","lag5_pressure_var","lag5_solar_var","lag5_dewpoint_var","lag5_humidity_var","lag5_wind_10m_var","lag5_wind_2m_var","lag5_wbgt_var","lag5_hi_var"
"1",2005-05-06,FALSE,45.6,1017.4,0,38,50.4,2.51,2.13686320552717,45.11,44.5,56.2,1028.1,406,49.2,99.6,5.32,4.24818621337872,54.76,53.9,49.4787037037037,1022.02407407407,102.546296296296,46.0907407407407,89.4527777777778,3.99722222222222,3.21678050310759,49.0677314814815,48.3328703703704,8.79786993970715,6.23495262704561,17630.6118001723,5.74047200689061,205.818317829457,0.31110480620155,0.204438107765481,8.12334320198105,6.9498447459087,47,1013.3,0,31.7,29.3,0.39,0.404220976791859,42.05,44.3,67.2,1032.2,990,52.7,84.6,4.21,3.76144049281009,69.91,65.4,56.0998456790123,1024.11836419753,238.513888888889,41.762037037037,60.3126543209877,2.25364197530864,1.80234724627965,53.6296604938272,54.2442901234568,29.6590262512641,16.9733098393345,93787.097179289,19.9040589043448,193.059839620661,0.575914381666571,0.507654099034318,49.5469661905852,30.6832130965329,44.5,1008.7,0,31.7,29.3,0.35,0.404220976791859,40.95,42.2,68.4,1032.2,997,63,100,4.21,3.76144049281009,70.79,68.1,57.4060185185185,1020.57472222222,252.107407407407,43.9791666666667,63.3328703703704,2.25094444444444,1.80321933400867,55.4851759259259,55.8237037037037,39.3989535492397,32.7136236484399,102846.22200254,48.045561862836,321.623969510521,0.724392619709608,0.572463241387764,59.6028114611437,43.0799195414135
"2",2005-05-07,FALSE,42.3,1012.1,0,35.3,32.3,0.68,0.607548583161725,39.13,39.9,75,1021,989,56.7,81.4,3.55,3.17176098562371,71.31,73.8,56.5652777777778,1017.48842592593,305.259259259259,41.5425925925926,58.9513888888889,1.91763888888889,1.57725729395451,54.547962962963,54.6944444444444,124.306742248062,5.3651212316968,135489.392937123,32.3749216192937,156.346509689922,0.305874864341085,0.215312864709032,150.68159211025,137.628248062016,45.6,1017.4,0,38,37.2,0.71,0.404220976791859,44.22,44.5,67.2,1032.2,925,50.4,99.6,5.32,4.24818621337872,65.67,65.4,53.7442901234568,1024.87577160494,169.918209876543,44.6731481481482,73.5594135802469,2.95058641975309,2.36546911443883,51.962762345679,52.2765432098765,29.0833676560383,12.1261663279715,52858.81401101,6.26431650352052,296.95524355048,0.989439531932757,0.792694563144189,29.8653470717175,26.9854767492892,44.5,1012.9,0,31.7,29.3,0.35,0.404220976791859,40.95,42.2,68.4,1032.2,990,53.5,99.6,5.32,4.24818621337872,70.79,66.8,55.0413888888889,1022.31861111111,215.723148148148,42.7505555555556,65.9250925925926,2.45772222222222,1.96086153705833,53.1758981481481,53.3448148148148,40.1293789774483,19.3164188291628,82545.1568315999,19.594235094223,337.140695079463,1.15736329626197,0.851461801740966,54.7238675892459,39.7253669721621
"3",2005-05-08,FALSE,51.5,1012.3,0,41.8,31.5,0.32,0.446726899383621,49.81,50.6,75.4,1018.8,993,57.3,91.5,3.03,2.70716501026474,73.7,74.3,63.3800925925926,1015.20601851852,330.37037037037,48.5583333333333,61.649537037037,2.1950462962963,1.82367549073548,60.9242592592593,62.3194444444444,55.1182530146425,2.05945198105083,142222.243583118,11.7283953488372,334.558139319552,0.273325579242033,0.213722938765697,61.7421389836348,54.1357131782946,42.3,1012.1,0,35.3,32.3,0.68,0.607548583161725,39.13,39.9,75,1032.2,989,56.7,99.6,5.32,4.24818621337872,71.31,73.8,54.1969135802469,1022.65694444444,209.398148148148,43.8171296296296,70.9257716049383,2.91310185185185,2.3731745404387,52.4236728395062,52.6516975308642,63.3968065334783,24.8410645285935,87501.1488064571,17.8109735102181,372.833631552083,1.06516053365963,0.730979423301555,67.3764464584884,64.7561022143988,42.3,1012.1,0,31.7,29.3,0.39,0.404220976791859,39.13,39.9,75,1032.2,990,56.7,99.6,5.32,4.24818621337872,71.31,73.8,54.8687037037037,1022.37351851852,224.669444444444,42.5838888888889,65.8684259259259,2.53515740740741,2.04021590718021,52.9009351851852,53.152037037037,51.6089362235266,19.1191868671266,91148.7960997838,22.6144575223973,327.391282042701,1.02012768604332,0.742046911082272,65.1564329522363,53.0488744379226
"4",2005-05-09,FALSE,50.9,1013.5,0,43.8,34.1,0.23,0.284662659712577,47.87,49.4,76.3,1020.1,994,60,87.4,2.46,2.10855096509069,79.98,75.3,63.5694444444444,1016.57731481481,337.518518518519,49.5023148148148,63.1277777777778,1.64939814814815,1.34187703361077,62.3942592592593,62.5930555555556,73.6813875968992,2.13878531438415,146845.971748493,15.805343453919,308.076899224806,0.445001961670973,0.299185511086085,105.996333402239,76.0545096899225,42.3,1012.1,0,35.3,31.5,0.32,0.446726899383621,39.13,39.9,75.4,1028.1,993,57.3,99.6,5.32,4.24818621337872,73.7,74.3,56.4746913580247,1018.23950617284,246.058641975309,45.3972222222222,70.0179012345679,2.7033024691358,2.20590442926586,54.8466512345679,55.1155864197531,94.809002995783,12.5812189211365,108562.16657126,25.0202086553323,421.887407025779,1.14710468735093,0.732366121465904,96.7988711486538,98.7764336586716,42.3,1012.1,0,35.3,31.5,0.32,0.404220976791859,39.13,39.9,75.4,1032.2,993,57.3,99.6,5.32,4.24818621337872,73.7,74.3,56.2356481481482,1021.46435185185,229.076851851852,44.8240740740741,68.2558333333333,2.59288888888889,2.0994680256013,54.2721018518519,54.7687037037037,67.1586075498575,26.7448911457797,92349.7151263172,17.5050547489102,318.839743512512,0.908509348161878,0.673122990453321,72.3118570239076,69.5362763532763
"5",2005-05-10,FALSE,51.3,1013.9,0,49.1,42.9,1.06,0.83264593204567,49.76,50.6,78.5,1019.9,962,61.1,95.7,2.43,1.90880152346319,77.24,78.1,65.4194444444444,1016.55694444444,317.810185185185,53.6615740740741,67.9092592592593,1.89722222222222,1.54501912918244,63.8938888888889,64.8550925925926,80.749015503876,1.7979980620155,133195.968453919,8.9343770456503,238.971634797588,0.116763410852713,0.0866524863783041,95.1521559689922,84.4594158053402,42.3,1012.1,0,35.3,31.5,0.23,0.284662659712577,39.13,39.9,76.3,1021,994,60,91.5,3.55,3.17176098562371,79.98,75.3,61.1716049382716,1016.42391975309,324.382716049383,46.5344135802469,61.2429012345679,1.92069444444444,1.58093660610025,59.2888271604938,59.8689814814815,94.7395015932986,4.05928785753811,141273.405079474,32.5349653433702,268.498249375084,0.390048821483771,0.280744949123834,117.427895067453,102.41796990383,42.3,1012.1,0,35.3,31.5,0.23,0.284662659712577,39.13,39.9,76.3,1032.2,994,60,99.6,5.32,4.24818621337872,79.98,75.3,57.9080555555556,1019.95083333333,259.216666666667,45.9024074074074,67.5109259259259,2.51675,2.05701522913247,56.1179074074074,56.5735185185185,84.3606116002471,26.9149205282669,113798.963206673,22.7841276559228,369.339194693303,1.04749572984245,0.713826586981311,94.5305351906772,87.871068238767
"6",2005-05-11,FALSE,57.1,1014.4,0,56.5,47,1.01,0.902388336754915,56.12,57.1,81.7,1020.3,862,65.4,98.6,2.43,1.90880152346319,82.32,82.2,68.8597222222222,1017.14259259259,288.236111111111,60.2402777777778,76.3083333333333,1.71893518518519,1.33813306511873,68.5378703703704,69.2222222222222,70.3959980620155,1.62096813092161,106253.241666667,4.92474224806201,283.417046511628,0.139330488802756,0.088375589185732,88.8083331180017,75.9787596899225,50.9,1012.3,0,41.8,31.5,0.23,0.284662659712577,47.87,49.4,78.5,1020.1,994,61.1,95.7,3.03,2.70716501026474,79.98,78.1,64.1229938271605,1016.11342592593,328.566358024691,50.5740740740741,64.2288580246914,1.91388888888889,1.57019055117623,62.4041358024691,63.2558641975309,70.4813097248459,2.40496629744118,140386.09450789,17.0409033144427,300.108393129735,0.327340958268934,0.238301238333458,88.8314317095044,72.6219439197054,42.3,1012.1,0,35.3,31.5,0.23,0.284662659712577,39.13,39.9,78.5,1028.1,994,61.1,99.6,5.32,4.24818621337872,79.98,78.1,59.6825925925926,1017.57055555556,278.700925925926,47.8711111111111,68.2181481481481,2.33130555555556,1.90092189011816,58.1656203703704,58.5589814814815,103.414654996053,9.0004111831943,122536.44893334,30.8526957059005,369.131699996567,1.01368643110905,0.659811029203171,114.88774400774,109.52711110253
"7",2005-05-12,FALSE,61.5,1015.1,0,56.8,41.4,0.19,0.446726899383621,59.22,61.5,86.7,1020.9,895,71,89.1,2.81,2.39226518228341,89.36,87,73.0023148148148,1018.3875,286.740740740741,61.4638888888889,69.1768518518519,1.71527777777778,1.39641067059786,71.8029166666667,73.3712962962963,65.3281341515934,1.35049418604651,113564.30456503,9.81180620155038,214.872577950043,0.401216666666667,0.217018019466118,100.2754775,70.0728466838932,50.9,1013.5,0,43.8,34.1,0.23,0.284662659712577,47.87,49.4,81.7,1020.3,994,65.4,98.6,2.46,2.10855096509069,82.32,82.2,65.949537037037,1016.75895061728,314.521604938272,54.4680555555556,69.1151234567901,1.75518518518519,1.40834307597065,64.9420061728395,65.5567901234568,79.5229055040357,1.92063073635201,128777.85733776,29.430307187017,305.693588547332,0.243886209857462,0.166939515145544,103.204009879405,86.1694128646937,42.3,1012.1,0,35.3,31.5,0.23,0.284662659712577,39.13,39.9,81.7,1021,994,65.4,98.6,3.55,3.17176098562371,82.32,82.2,63.5587962962963,1016.59425925926,315.838888888889,50.7010185185185,65.5892592592593,1.87564814814815,1.52519240252039,62.0596481481481,62.7368518518519,96.6661134709779,3.19322002540074,132621.119524251,52.6674410376549,300.513322898431,0.291141748189339,0.212168333387263,120.754410997494,107.638900181924
"8",2005-05-13,FALSE,58.2,1018.8,0,52.5,62.9,1.62,1.09310461329629,57.07,58.2,73.2,1027.8,510,69.5,99.3,2.93,2.30155903857907,71.69,74.2,63.5361111111111,1024.04166666667,132.537037037037,58.35,84.1972222222222,2.29125,1.84569102301983,62.965462962963,63.5490740740741,14.1715271317829,3.39388372093025,24911.2637381568,26.8773023255814,169.287620155039,0.0744547093023256,0.0509121317544775,14.9695169939707,16.4009293712317,51.3,1013.9,0,49.1,41.4,0.19,0.446726899383621,49.76,50.6,86.7,1020.9,962,71,98.6,2.81,2.39226518228341,89.36,87,69.0938271604938,1017.36234567901,297.595679012346,58.4552469135802,71.1314814814815,1.7771450617284,1.42652095496634,68.078225308642,69.149537037037,81.5602400442689,2.1684408571374,117512.429780373,19.6232490888622,258.682902284046,0.225648869187322,0.137876750229846,104.99981338347,88.7084387343294,50.9,1012.3,0,41.8,31.5,0.19,0.284662659712577,47.87,49.4,86.7,1020.9,994,71,98.6,3.03,2.70716501026474,89.36,87,66.8462037037037,1016.77407407407,312.135185185185,54.6852777777778,67.6343518518518,1.83517592592593,1.48902307784906,65.5106388888889,66.4722222222222,82.1586695414135,2.84459135688051,128385.718501356,38.6809600710534,301.744981970618,0.313295427779494,0.21397603555419,106.498496811091,89.9031757800433
"9",2005-05-14,FALSE,60.8,1011.3,0,53.7,53.4,1.55,0.882454245108987,57.97,60.6,79.7,1024.6,812,63.1,89.2,3.47,3.01093930184561,78.34,81,67.9407407407407,1018.96388888889,235.435185185185,58.6064814814815,73.1328703703704,2.34837962962963,1.78670112414277,65.8422222222222,68.0046296296296,51.2928440999139,12.5750620155039,71803.8004306632,10.0463763996555,120.206588931955,0.467280618001723,0.632425739197674,63.2527568992248,57.960443583118,57.1,1014.4,0,52.5,41.4,0.19,0.446726899383621,56.12,57.1,86.7,1027.8,895,71,99.3,2.93,2.39226518228341,89.36,87,68.4660493827161,1019.85725308642,235.837962962963,60.0180555555556,76.5608024691358,1.90848765432099,1.52674491957881,67.76875,68.7141975308642,64.8462953422253,11.1421111445036,86668.2627296926,15.4716827666151,259.529836758448,0.277735885473315,0.169910287832257,81.1406335200927,70.2168923998702,50.9,1013.5,0,43.8,34.1,0.19,0.284662659712577,47.87,49.4,86.7,1027.8,994,71,99.3,2.93,2.39226518228341,89.36,87,66.8774074074074,1018.5412037037,272.568518518519,56.6436111111111,72.1438888888889,1.85441666666667,1.49342618430593,65.9188796296296,66.7181481481481,73.7870701953112,10.0660022568908,109834.039786496,33.0345652610442,296.204985789311,0.289012078313253,0.184561959429364,94.0977461949507,80.5818946212199
"10",2005-05-15,FALSE,64.1,1008.7,0,60.2,53,0.26,0.446726899383621,62.6,64.6,80.4,1014.3,794,68,97.3,3.31,2.74290316221543,78.97,81.5,70.0203703703704,1011.82777777778,216.87962962963,63.1587962962963,79.9703703703704,2.39148148148148,1.95848117096391,69.1812962962963,70.5425925925926,19.2490714900947,1.68117829457364,75735.5761412575,3.73787575366064,152.694001722653,0.497330818260121,0.301698001538029,29.5708559862188,19.8084099913867,58.2,1011.3,0,52.5,41.4,0.19,0.446726899383621,57.07,58.2,86.7,1027.8,895,71,99.3,3.47,3.01093930184561,89.36,87,68.1597222222222,1020.46435185185,218.237654320988,59.4734567901235,75.5023148148148,2.1183024691358,1.67626760592015,66.870200617284,68.3083333333333,58.4446657650696,12.219237291774,73993.8136031446,17.5252912778827,208.074075004293,0.39523049878833,0.338992248374937,72.8813967139409,64.1462982998454,51.3,1011.3,0,49.1,41.4,0.19,0.446726899383621,49.76,50.6,86.7,1027.8,962,71,99.3,3.47,3.01093930184561,89.36,87,67.7516666666667,1019.01851851852,252.151851851852,58.4644444444444,74.1449074074074,1.99421296296296,1.58239100241233,66.6084722222222,67.800462962963,66.5967164040779,11.1811581368208,93895.5672810902,19.1307457522397,238.685108425154,0.314320974067209,0.255661152061954,82.6190274135001,72.7288876445955
