iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,ugc,name,ph_name,sig_name,url
2014-01-07T05:00:00Z,2014-01-07 05:00,2014-01-07T15:46:00Z,2014-01-07 15:46,1,WC,Y,,RAH,NCZ025,Wind Chill Advisory,Wind Chill,Advisory,/vtec/#2014-O-NEW-KRAH-WC-Y-0001
2014-01-15T06:46:00Z,2014-01-15 06:46,2014-01-15T14:57:00Z,2014-01-15 14:57,1,FG,Y,,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0001
2014-01-21T21:00:00Z,2014-01-21 21:00,2014-01-22T14:00:00Z,2014-01-22 14:00,1,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0001
2014-01-24T05:00:00Z,2014-01-24 05:00,2014-01-24T14:00:00Z,2014-01-24 14:00,2,WC,Y,,RAH,NCZ025,Wind Chill Advisory,Wind Chill,Advisory,/vtec/#2014-O-NEW-KRAH-WC-Y-0002
2014-01-25T16:00:00Z,2014-01-25 16:00,2014-01-25T09:11:00Z,2014-01-25 09:11,1,FW,A,,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0001
2014-01-25T16:00:00Z,2014-01-25 16:00,2014-01-25T22:20:00Z,2014-01-25 22:20,1,FW,W,,RAH,NCZ025,Red Flag Warning,Red Flag,Warning,/vtec/#2014-O-NEW-KRAH-FW-W-0001
2014-01-28T17:00:00Z,2014-01-28 17:00,2014-01-29T11:33:00Z,2014-01-29 11:33,1,WS,W,,RAH,NCZ025,Winter Storm Warning,Winter Storm,Warning,/vtec/#2014-O-NEW-KRAH-WS-W-0001
2014-01-29T11:33:00Z,2014-01-29 11:33,2014-01-30T17:00:00Z,2014-01-30 17:00,2,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0002
2014-02-12T05:00:00Z,2014-02-12 05:00,2014-02-11T12:13:00Z,2014-02-11 12:13,2,WS,A,,RAH,NCZ025,Winter Storm Watch,Winter Storm,Watch,/vtec/#2014-O-NEW-KRAH-WS-A-0002
2014-02-12T14:00:00Z,2014-02-12 14:00,2014-02-13T23:00:00Z,2014-02-13 23:00,3,WS,W,,RAH,NCZ025,Winter Storm Warning,Winter Storm,Warning,/vtec/#2014-O-NEW-KRAH-WS-W-0003
2014-02-13T23:07:00Z,2014-02-13 23:07,2014-02-14T15:00:00Z,2014-02-14 15:00,4,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0004
2014-03-03T17:00:00Z,2014-03-03 17:00,2014-03-04T17:00:00Z,2014-03-04 17:00,5,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0005
2014-03-07T02:00:00Z,2014-03-07 02:00,2014-03-07T19:45:00Z,2014-03-07 19:45,6,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0006
2014-03-07T09:21:00Z,2014-03-07 09:21,2014-03-07T17:44:00Z,2014-03-07 17:44,1,WI,Y,,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2014-O-NEW-KRAH-WI-Y-0001
2014-03-08T02:00:00Z,2014-03-08 02:00,2014-03-08T14:00:00Z,2014-03-08 14:00,7,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0007
2014-03-12T19:00:00Z,2014-03-12 19:00,2014-03-13T04:26:00Z,2014-03-13 04:26,2,WI,Y,,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2014-O-NEW-KRAH-WI-Y-0002
2014-03-13T15:00:00Z,2014-03-13 15:00,2014-03-13T07:36:00Z,2014-03-13 07:36,2,FW,A,,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0002
2014-03-13T15:00:00Z,2014-03-13 15:00,2014-03-13T22:00:00Z,2014-03-13 22:00,2,FW,W,,RAH,NCZ025,Red Flag Warning,Red Flag,Warning,/vtec/#2014-O-NEW-KRAH-FW-W-0002
2014-03-14T15:00:00Z,2014-03-14 15:00,2014-03-14T07:33:00Z,2014-03-14 07:33,3,FW,A,,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0003
2014-03-17T15:30:00Z,2014-03-17 15:30,2014-03-18T16:00:00Z,2014-03-18 16:00,8,WW,Y,,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0008
2014-03-29T07:17:00Z,2014-03-29 07:17,2014-03-29T14:00:00Z,2014-03-29 14:00,4,FG,Y,,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0004
