iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,ugc,name,ph_name,sig_name,url
2014-01-07T05:00:00Z,2014-01-07T05:00:00Z,2014-01-07T15:46:00Z,2014-01-07T15:46:00Z,1,WC,Y,NA,RAH,NCZ025,Wind Chill Advisory,Wind Chill,Advisory,/vtec/#2014-O-NEW-KRAH-WC-Y-0001
2014-01-15T06:46:00Z,2014-01-15T06:46:00Z,2014-01-15T14:57:00Z,2014-01-15T14:57:00Z,1,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0001
2014-01-21T21:00:00Z,2014-01-21T21:00:00Z,2014-01-22T14:00:00Z,2014-01-22T14:00:00Z,1,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0001
2014-01-24T05:00:00Z,2014-01-24T05:00:00Z,2014-01-24T14:00:00Z,2014-01-24T14:00:00Z,2,WC,Y,NA,RAH,NCZ025,Wind Chill Advisory,Wind Chill,Advisory,/vtec/#2014-O-NEW-KRAH-WC-Y-0002
2014-01-25T16:00:00Z,2014-01-25T16:00:00Z,2014-01-25T09:11:00Z,2014-01-25T09:11:00Z,1,FW,A,NA,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0001
2014-01-25T16:00:00Z,2014-01-25T16:00:00Z,2014-01-25T22:20:00Z,2014-01-25T22:20:00Z,1,FW,W,NA,RAH,NCZ025,Red Flag Warning,Red Flag,Warning,/vtec/#2014-O-NEW-KRAH-FW-W-0001
2014-01-28T17:00:00Z,2014-01-28T17:00:00Z,2014-01-29T11:33:00Z,2014-01-29T11:33:00Z,1,WS,W,NA,RAH,NCZ025,Winter Storm Warning,Winter Storm,Warning,/vtec/#2014-O-NEW-KRAH-WS-W-0001
2014-01-29T11:33:00Z,2014-01-29T11:33:00Z,2014-01-30T17:00:00Z,2014-01-30T17:00:00Z,2,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0002
2014-02-12T05:00:00Z,2014-02-12T05:00:00Z,2014-02-11T12:13:00Z,2014-02-11T12:13:00Z,2,WS,A,NA,RAH,NCZ025,Winter Storm Watch,Winter Storm,Watch,/vtec/#2014-O-NEW-KRAH-WS-A-0002
2014-02-12T14:00:00Z,2014-02-12T14:00:00Z,2014-02-13T23:00:00Z,2014-02-13T23:00:00Z,3,WS,W,NA,RAH,NCZ025,Winter Storm Warning,Winter Storm,Warning,/vtec/#2014-O-NEW-KRAH-WS-W-0003
2014-02-13T23:07:00Z,2014-02-13T23:07:00Z,2014-02-14T15:00:00Z,2014-02-14T15:00:00Z,4,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0004
2014-03-03T17:00:00Z,2014-03-03T17:00:00Z,2014-03-04T17:00:00Z,2014-03-04T17:00:00Z,5,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0005
2014-03-07T02:00:00Z,2014-03-07T02:00:00Z,2014-03-07T19:45:00Z,2014-03-07T19:45:00Z,6,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0006
2014-03-07T09:21:00Z,2014-03-07T09:21:00Z,2014-03-07T17:44:00Z,2014-03-07T17:44:00Z,1,WI,Y,NA,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2014-O-NEW-KRAH-WI-Y-0001
2014-03-08T02:00:00Z,2014-03-08T02:00:00Z,2014-03-08T14:00:00Z,2014-03-08T14:00:00Z,7,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0007
2014-03-12T19:00:00Z,2014-03-12T19:00:00Z,2014-03-13T04:26:00Z,2014-03-13T04:26:00Z,2,WI,Y,NA,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2014-O-NEW-KRAH-WI-Y-0002
2014-03-13T15:00:00Z,2014-03-13T15:00:00Z,2014-03-13T07:36:00Z,2014-03-13T07:36:00Z,2,FW,A,NA,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0002
2014-03-13T15:00:00Z,2014-03-13T15:00:00Z,2014-03-13T22:00:00Z,2014-03-13T22:00:00Z,2,FW,W,NA,RAH,NCZ025,Red Flag Warning,Red Flag,Warning,/vtec/#2014-O-NEW-KRAH-FW-W-0002
2014-03-14T15:00:00Z,2014-03-14T15:00:00Z,2014-03-14T07:33:00Z,2014-03-14T07:33:00Z,3,FW,A,NA,RAH,NCZ025,Fire Weather Watch,Red Flag,Watch,/vtec/#2014-O-NEW-KRAH-FW-A-0003
2014-03-17T15:30:00Z,2014-03-17T15:30:00Z,2014-03-18T16:00:00Z,2014-03-18T16:00:00Z,8,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2014-O-NEW-KRAH-WW-Y-0008
2014-03-29T07:17:00Z,2014-03-29T07:17:00Z,2014-03-29T14:00:00Z,2014-03-29T14:00:00Z,4,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0004
2014-04-16T07:00:00Z,2014-04-16T07:00:00Z,2014-04-16T13:00:00Z,2014-04-16T13:00:00Z,1,FZ,W,NA,RAH,NCZ025,Freeze Warning,Freeze,Warning,/vtec/#2014-O-NEW-KRAH-FZ-W-0001
2014-04-16T07:00:00Z,2014-04-16T07:00:00Z,2014-04-15T08:00:00Z,2014-04-15T08:00:00Z,1,FZ,A,NA,RAH,NCZ025,Freeze Watch,Freeze,Watch,/vtec/#2014-O-NEW-KRAH-FZ-A-0001
2014-04-17T04:00:00Z,2014-04-17T04:00:00Z,2014-04-17T12:48:00Z,2014-04-17T12:48:00Z,2,FZ,W,NA,RAH,NCZ025,Freeze Warning,Freeze,Warning,/vtec/#2014-O-NEW-KRAH-FZ-W-0002
2014-04-17T07:00:00Z,2014-04-17T07:00:00Z,2014-04-16T08:14:00Z,2014-04-16T08:14:00Z,2,FZ,A,NA,RAH,NCZ025,Freeze Watch,Freeze,Watch,/vtec/#2014-O-NEW-KRAH-FZ-A-0002
2014-04-29T22:00:00Z,2014-04-29T22:00:00Z,2014-04-30T22:17:00Z,2014-04-30T22:17:00Z,1,FF,A,00000,RAH,NCZ025,Flash Flood Watch,Flash Flood,Watch,/vtec/#2014-O-NEW-KRAH-FF-A-0001
2014-05-16T02:19:00Z,2014-05-16T02:19:00Z,2014-05-16T07:33:00Z,2014-05-16T07:33:00Z,2,FF,A,00000,RAH,NCZ025,Flash Flood Watch,Flash Flood,Watch,/vtec/#2014-O-NEW-KRAH-FF-A-0002
2014-07-23T09:35:00Z,2014-07-23T09:35:00Z,2014-07-23T12:59:00Z,2014-07-23T12:59:00Z,5,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0005
2014-08-03T10:16:00Z,2014-08-03T10:16:00Z,2014-08-03T13:00:00Z,2014-08-03T13:00:00Z,6,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0006
2014-08-04T07:47:00Z,2014-08-04T07:47:00Z,2014-08-04T13:02:00Z,2014-08-04T13:02:00Z,7,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0007
2014-09-08T14:00:00Z,2014-09-08T14:00:00Z,2014-09-09T01:56:00Z,2014-09-09T01:56:00Z,4,FF,A,00000,RAH,NCZ025,Flash Flood Watch,Flash Flood,Watch,/vtec/#2014-O-NEW-KRAH-FF-A-0004
2014-09-30T08:00:00Z,2014-09-30T08:00:00Z,2014-09-30T13:31:00Z,2014-09-30T13:31:00Z,8,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0008
2014-10-01T07:36:00Z,2014-10-01T07:36:00Z,2014-10-01T14:01:00Z,2014-10-01T14:01:00Z,9,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2014-O-NEW-KRAH-FG-Y-0009
2014-11-03T06:00:00Z,2014-11-03T06:00:00Z,2014-11-03T13:00:00Z,2014-11-03T13:00:00Z,3,FZ,W,NA,RAH,NCZ025,Freeze Warning,Freeze,Warning,/vtec/#2014-O-NEW-KRAH-FZ-W-0003
2014-11-03T06:00:00Z,2014-11-03T06:00:00Z,2014-11-02T08:14:00Z,2014-11-02T08:14:00Z,3,FZ,A,NA,RAH,NCZ025,Freeze Watch,Freeze,Watch,/vtec/#2014-O-NEW-KRAH-FZ-A-0003
